ID,Source,Page,X1,Y1,X2,Y2,Width,Height,TextLength,Text
P-038,pdf,1,2871,7613,3112,7703,241,90,11,"25太郎丸神社
しても"
P-039,pdf,1,3087,7784,3299,7850,212,66,12,"たろ」下車徒
2-7-1"
P-040,pdf,1,260,8595,631,8831,371,236,24,"26櫻井神社
JRバスで「桜井」下車、
4227"
P-041,pdf,1,1091,8595,1503,8795,412,200,15,"雷山千如寺大王院
JRで下車徒"
P-042,pdf,1,2028,8599,2529,8835,501,236,30,"34神社
BROW
JR神社前」下車徒歩すぐ
2-10-43"
P-043,pdf,1,2900,8603,3091,8831,191,228,17,"唐津神社
JR駅から徒歩
3-13"
P-044,pdf,1,2419,8689,2680,9047,261,358,17,"アームストロング
念佐今
社
一ノ"
P-045,pdf,1,236,9206,765,9434,529,228,57,"二日市八幡宮
神として
されていちょう)に
とされ、すると一面を上げる。
JR二日市駅から徒歩約5分
3-6-35"
P-046,pdf,1,1071,9194,1596,9434,525,240,60,"29全国総本宮水天宮
す
としてまたどることでも知られる。
JR久留米駅から徒歩約10分
福岡県久留米市瀬下町265-1"
P-047,pdf,1,2028,9206,2342,9389,314,183,35,"36大江神大神宮
331(大学3年)
上げたたられてきた
JR約25分"
P-048,pdf,1,2876,9194,3201,9434,325,240,28,"|武雄神社
集めている。
JR駅から徒歩約25分5327"
P-049,pdf,1,3201,9267,3385,9316,184,49,11,"一つ、
がある。千年の"
P-050,pdf,1,256,9797,769,9992,513,195,35,"30水田天満宮
神社である本があり
JR歩約20分
しまれているとした"
P-051,pdf,1,1067,9797,1600,10037,533,240,46,"31下庄八幡神社
2011年、子供
ごじょう)の本
JR駅から徒歩約15分
高町下庄1397"
P-052,pdf,1,2040,9805,2432,10029,392,224,32,"38玉神社
JR野温泉駅から徒歩約25分
大学2231-2
人気"
P-053,pdf,1,2692,9805,3393,10033,701,228,43,"39神社
などがされることでも有名JR駅徒歩約10分
町2-5-1
種」とし
野外
野"
P-054,pdf,1,256,10392,765,10595,509,203,28,"32大田神社
村人が
JR大牟田駅10
京都
れている。"
P-055,pdf,1,1067,10392,1438,10632,371,240,41,"33八坂神社
12
により
であるが奉納される。
JRから徒歩約15分
1-867"
P-056,pdf,1,2040,10404,2358,10591,318,187,23,"40亀山八幡宮
として
JR歩約35分
として"
P-057,pdf,1,2847,10400,3613,10958,766,558,39,"|41福石観音清
だ
さて
JR
24-5
よるに写
100
はイメージです。"
P-058,pdf,1,1605,10701,1666,10848,61,147,4,八坂神社
P-059,pdf,1,256,11386,427,11573,171,187,7,"42天宮
JR"
P-060,pdf,1,403,11475,749,11524,346,49,10,"村氏が歌
におされる"
P-061,pdf,1,1071,11390,1523,11577,452,187,41,"43富松神社
を受け、「とんまつさん」神
駅から徒歩約10分
を名乗ったことから、"
P-062,pdf,1,2040,11386,2562,11614,522,228,22,"50
た
JR中
がそびえに入行した平昌
1"
P-063,pdf,1,2855,11382,3263,11606,408,224,44,"51宇佐神宮
全国4万社余りの八幡受
JRバスで約10分
2
されて1300年を迎える。"
P-064,pdf,1,256,11988,765,12213,509,225,54,"44大村神社
サクラとして親しまれる。
JR駅からバスで「大村市役所」下車、徒歩約10分
1-34-34
1"
P-065,pdf,1,1083,11972,1405,12217,322,245,28,"45館山稲荷神社
JR駅から徒歩約20分
1・1
守をち"
P-066,pdf,1,2032,11984,2456,12176,424,192,47,"52八幡竈門神社
全国的にも珍しい
空調のあるなど見どころも多い。
JR亀川駅から徒歩約20分"
P-067,pdf,1,2871,11968,3377,12217,506,249,40,"SELAL
53春神社
JR大分駅から徒歩約20分
4-87
ありながらである。"
P-068,pdf,1,1124,12583,1466,12775,342,192,35,"高城神社
れた。
として、現在も多くの参拝者がある。
駅から徒歩約7分"
P-069,pdf,1,2028,12583,2558,12815,530,232,37,"54上野若宮八幡社
JR大分駅徒歩約15分
大分市上野町
1
大友氏ゆかり"
P-070,pdf,1,293,12587,554,12811,261,224,27,"諫早神社(九州空港
JR駅から徒歩約7分
都町1-12"
P-071,pdf,1,2880,12587,3242,12811,362,224,34,"大原八幡宮
80年に
で、している。|JR駅徒歩約10分
2-104"
P-072,pdf,1,692,12848,883,12962,191,114,3,゜はじ
P-073,pdf,1,244,13178,749,13418,505,240,65,"48西大社諏訪神社
西大社とえられる上
としてされている神くんろ」
日本
JR駅から電車で「神社」下車、徒歩すぐ
長崎県長崎市上山"
P-074,pdf,1,1079,13158,1576,13406,497,248,30,"49神社
JR駅からバスで「ロープウェイ前下車、徒歩すぐ
-"
P-075,pdf,1,1099,13276,1605,13292,506,16,7,した二つ出され
P-076,pdf,1,2028,13194,2550,13374,522,180,27,"56
1616ス
しまれて
と
JR駅から徒歩約20分"
P-077,pdf,1,2855,13178,3613,13740,758,562,35,"57福島天満宮
言い伝えから
JR駅から徒歩約5分
大
イメージです。"
P-078,pdf,1,240,14156,769,14404,529,248,32,"58八坂神
1-1000Ch
|JR駅から徒歩約15分
大分
市"
P-079,pdf,1,1087,14160,1706,14392,619,232,33,"59五所神社
JR駅から徒歩約10分
194
いる。
感じるが
駅"
P-080,pdf,1,2032,14164,2358,14396,326,232,25,"66神社
JR
鹿児島県鹿児島市下福元町784-3"
P-081,pdf,1,2871,14168,3238,14392,367,224,36,"67薩摩祇園八坂神社
一つ「お
しが楽しめる。
JR約10分
町26-1"
P-082,pdf,1,264,14759,721,14995,457,236,31,"|肥後國聽填護北國神社H
めるから
でられる
本日1-8-16"
P-083,pdf,1,1087,14767,1409,14995,322,228,30,"61大津日吉神社
JR肥後大津駅から徒歩約10分
184-1"
P-084,pdf,1,2045,14759,2342,14995,297,236,27,"68鹿児島神宮
JR隼人駅から徒歩約15分
人町9-1"
